OBJECTID,SRA,FHSZ,FHSZ_Description,Shape__Area,Shape__Length
5230,LRA,2,High,345769.778226852,2971.35061964703
5231,LRA,2,High,13175.1473989487,466.32598852492
5232,LRA,2,High,180279.483445168,2829.01624873033
5233,LRA,2,High,896220.859555244,11205.9708734431
5234,LRA,2,High,1908854.55658054,17928.9795111465
5235,LRA,2,High,131109.687573433,2878.26839161004
5236,LRA,2,High,350346.772684097,4014.59883738298
5237,LRA,2,High,104720.655698776,17201.0862267438
5238,LRA,2,High,2576115.91097355,6421.15356699993
5239,LRA,2,High,366412.930805206,3678.44214810363
5240,LRA,2,High,5151378.88961983,39878.1554060277
5241,LRA,2,High,795591.622992992,6668.34176647514
5242,LRA,2,High,144572.770789623,2042.69701535853
5243,LRA,2,High,2233559.04558396,14242.640974191
5244,LRA,2,High,13001.9409952164,493.449519164231
5245,LRA,2,High,270900.000000477,3360.00000001118
5246,LRA,2,High,2483261.71812081,14565.602517757
5247,LRA,2,High,1547400.88825774,11255.1288726709
5248,LRA,2,High,701590.461780071,19961.0069972014
5249,LRA,3,Very High,5206673.10267639,22632.7745359595
5250,LRA,3,Very High,212263.33581543,2673.26540639231
5251,LRA,3,Very High,12490814.615799,24517.8982319266
5252,LRA,3,Very High,34130438.7736664,66289.4030015476
5253,LRA,3,Very High,8932.33042907715,409.657302499854
5254,LRA,3,Very High,1134900,5219.99999998882
5255,LRA,3,Very High,560322.323120117,3925.86950860252
5256,LRA,3,Very High,8357600.51124573,41729.4921811546
5257,LRA,3,Very High,58542.8349304199,975.499549788939
5258,LRA,3,Very High,12123801.7679138,39842.2921819497
5259,LRA,3,Very High,2123100,7200.00000000559
5260,LRA,3,Very High,5929886.58183289,29957.5495161892
5261,LRA,3,Very High,1149300,5520.0000000447
5262,LRA,3,Very High,6231599.99993896,20639.999999987
5263,LRA,3,Very High,2455122.68057251,13721.5951091036
5264,LRA,3,Very High,257189.432403564,3809.57232852514
5265,LRA,3,Very High,37053.6715087891,1329.45615472678
5266,LRA,3,Very High,1829699.99993896,7380.00000002235
5267,LRA,3,Very High,238423.471115112,3041.01682055998
5268,LRA,3,Very High,156468.106109619,2360.93917133422
5269,LRA,3,Very High,5436900,19139.9999999832
5270,LRA,3,Very High,7491456.57710266,26623.7111799979
5271,LRA,3,Very High,267847.007843018,4170.19599726517
5272,LRA,3,Very High,6826500.00018311,21720.0000000242
5273,LRA,3,Very High,239545.54019165,2050.61436344656
5274,LRA,3,Very High,5791499.99978638,16379.9999999963
5275,LRA,3,Very High,434004.358154297,4353.12378478218
5276,LRA,3,Very High,1238400.00003052,5639.99999998696
5277,LRA,3,Very High,9290341.93232727,35584.5225139082
5278,LRA,3,Very High,1948500,9839.99999993294
5279,LRA,3,Very High,1944000,6900.00000002049
5280,LRA,3,Very High,900900,4980.00000000745
5281,LRA,3,Very High,8476131.98353577,19468.9209084222
5282,LRA,3,Very High,186354.564331055,3470.99145111534
5283,LRA,3,Very High,264962.332901001,3665.20293597008
5284,LRA,3,Very High,839983.585220337,5968.5995830923
5285,LRA,3,Very High,28280431.8097534,45699.5428644764
5286,LRA,3,Very High,230948.717208862,3335.06517615511
5287,LRA,3,Very High,676294.979629517,5328.0077784655
5288,LRA,3,Very High,127336.968582153,1696.772398176
5289,LRA,3,Very High,5385600.00024414,16980.0000000373
5290,LRA,3,Very High,341627.297485352,3059.50028789776
5291,LRA,3,Very High,1270173.87736511,11771.2570329585
5292,LRA,3,Very High,37977.8520355225,1221.83155587207
5293,LRA,3,Very High,130087.258117676,1785.72327807422
5294,LRA,3,Very High,133527.559936523,1834.52417548284
5295,LRA,3,Very High,8177399.9997406,21299.9999999497
5296,LRA,3,Very High,1609200.00012207,6359.99999999255
5297,LRA,3,Very High,836100.000030518,4620.00000000745
5298,LRA,3,Very High,1179900,5460.00000002049
5299,LRA,3,Very High,3101015.95803833,16415.7548563029
5300,LRA,3,Very High,8806499.99996948,26039.9999999572
5301,LRA,3,Very High,592348.02645874,7160.29928736995
5302,LRA,3,Very High,3171599.99990845,10080.0000000503
5303,LRA,3,Very High,46965804.5201569,99858.4728944019
5304,LRA,3,Very High,1285199.99998474,5760.00000003725
5305,LRA,3,Very High,881562.511856079,5698.42756004489
5306,LRA,3,Very High,7079400.00016785,16859.9999999497
5307,LRA,3,Very High,37190.4290008545,953.981744372536
5308,LRA,3,Very High,9051028.01394212,24414.4988767902
5309,LRA,3,Very High,8438629.70776367,27874.1581922821
5310,LRA,3,Very High,140000.29460144,1753.54242478207
5311,LRA,3,Very High,404986.014541626,3460.91248650576
5312,LRA,3,Very High,561207.665817261,4743.91979997462
5313,LRA,3,Very High,52240.6858825684,1177.12402030707
5314,LRA,3,Very High,337441103.73848,672958.096036295
5315,LRA,3,Very High,847746.07774353,7021.0731310095
5316,LRA,3,Very High,26810.104675293,831.457432823477
5317,LRA,3,Very High,202395.858314514,3219.04787704618
5318,LRA,3,Very High,4400352.2159729,14880.1565389918
5319,LRA,3,Very High,788.33479309082,113.871066855486
5320,LRA,3,Very High,4468905.42555237,25503.4366072481
5321,LRA,3,Very High,498390.090843201,3294.31379325224
5322,LRA,3,Very High,1040765.30139923,10658.6849892939
5323,LRA,3,Very High,772288.914764404,48164.0838310579
5324,LRA,3,Very High,315254.665122986,4329.86935011696
